username;country;media_outlet;media_category
9NewsAdel;AU;Channel 9;Television
9NewsAUS;AU;Channel 9;Television
9NewsMelb;AU;Channel 9;Television
9NewsPerth;AU;Channel 9;Television
9NewsQueensland;AU;Channel 9;Television
9NewsSyd;AU;Channel 9;Television
ABCaustralia;AU;ABC (Australian Broadcasting Corporation);Television
abcbrisbane;AU;ABC (Australian Broadcasting Corporation);Television
abcnews;AU;ABC (Australian Broadcasting Corporation);Television
abcperth;AU;ABC (Australian Broadcasting Corporation);Television
abcsydney;AU;ABC (Australian Broadcasting Corporation);Television
ABCthedrum;AU;ABC (Australian Broadcasting Corporation);Television
australian;AU;The Australian;Newspaper
canberratimes;AU;The Canberra Times;Newspaper
dailytelegraph;AU;The Daily Telegraph;Newspaper
InsidersABC;AU;ABC (Australian Broadcasting Corporation);Television
newscomauHQ;AU;News;Website
SBSNews;AU;SBS;Television
smh;AU;The Sydney Morning Herald;Newspaper
theage;AU;The Age;Newspaper
theheraldsun;AU;The Herald Sun;Newspaper
calgaryherald;CA;Calgary Herald;Newspaper
CBCAlerts;CA;CBC;Television
CBCCalgary;CA;CBC;Television
CBCCanada;CA;CBC;Television
CBCEdmonton;CA;CBC;Television
CBCNews;CA;CBC;Television
cbcnewsbc;CA;CBC;Television
CBCOttawa;CA;CBC;Television
CBCTheNational;CA;CBC;Television
CBCToronto;CA;CBC;Television
CTVBarrieNews;CA;CTV;Television
CTVCalgary;CA;CTV;Television
ctvedmonton;CA;CTV;Television
CTVKitchener;CA;CTV;Television
CTVMontreal;CA;CTV;Television
CTVNews;CA;CTV;Television
ctvottawa;CA;CTV;Television
CTVToronto;CA;CTV;Television
GlobalBC;CA;Global Television Network;Television
GlobalCalgary;CA;Global Television Network;Television
GlobalEdmonton;CA;Global Television Network;Television
globalnews;CA;Global Television Network;Television
globalnewsto;CA;Global Television Network;Television
globeandmail;CA;The Globe and Mail;Newspaper
HuffPostCanada;CA;HuffPost;Website
mtlgazette;CA;Montreal Gazette;Newspaper
nationalpost;CA;National Post;Newspaper
PnPCBC;CA;CBC;Television
TheTorontoSun;CA;Toronto Sun;Newspaper
TorontoStar;CA;Toronto Star;Newspaper
TPostMillennial;CA;The Post Millennial;Website
VancouverSun;CA;Vancouver Sun;Newspaper
98FM;IE;98FM;Radio
breakingnewsie;IE;BreakingNews;Website
corkindo;IE;Cork Independent;Newspaper
CorksRedFM;IE;Cork's RedFM;Radio
Herdotie;IE;Her;Website
Independent_ie;IE;Independent;Website
irishexaminer;IE;Irish Examiner;Newspaper
IrishMirror;IE;Irish Daily Mirror;Newspaper
IrishSunOnline;IE;The Sun;Newspaper
IrishTimes;IE;The Irish Times;Newspaper
IsFearrAnStar;IE;Daily Mirror;Newspaper
JOEdotie;IE;JOE;Website
lstwrd;IE;Today FM;Radio
morningireland;IE;RTE;Radio
NewstalkFM;IE;NewstalkFM;Radio
rte;IE;RTE;Radio
RTE2fm;IE;RTE;Radio
RTEbusiness;IE;RTE;Radio
rtenews;IE;RTE;Radio
RTENewsNow;IE;RTE;Radio
RTERadio1;IE;RTE;Radio
rtetwip;IE;RTE;Radio
SunTimesIreland;IE;The Times Ireland;Newspaper
thejournal_ie;IE;The Journal;Website
thetimesIE;IE;The Times Ireland;Newspaper
TodayFM;IE;Today FM;Radio
VirginMediaNews;IE;Virgin Media News;Television
airnewsalerts;IN;All India Radio News;Radio
ANI;IN;Asian News International;Website
bsindia;IN;Business Standard;Newspaper
businessline;IN;The Hindu;Newspaper
CNBCTV18News;IN;Network 18;Television
CNNnews18;IN;Network 18;Television
DDNewslive;IN;DD News;Television
DeccanChronicle;IN;Deccan Chronicle;Newspaper
dna;IN;Zee Media;Newspaper
EconomicTimes;IN;The Economic Times;Newspaper
FinancialXpress;IN;The Indian Express;Newspaper
firstpost;IN;Network 18;Television
fpjindia;IN;Free Press Journal;Newspaper
HindustanTimes;IN;Hindustan Times;Newspaper
HTPunjab;IN;Hindustan Times;Newspaper
htTweets;IN;Hindustan Times;Newspaper
ie_seven;IN;The Indian Express;Newspaper
IndianExpress;IN;The Indian Express;Newspaper
IndiaToday;IN;India Today;Magazine
indiatvnews;IN;India TV;Television
mid_day;IN;Mid Day;Newspaper
ndtv;IN;NDTV;Television
ndtvfeed;IN;NDTV;Television
NewIndianXpress;IN;The Indian Express;Newspaper
news18dotcom;IN;Network 18;Television
News18Politics;IN;Network 18;Television
Oneindia;IN;Oneindia;Website
Outlookindia;IN;Outlook Magazine;Magazine
